SN lmass
##lmass: "best value" from gi sdss, gi panstarrs, Kext, spit, M1 or Chang+2015...
#######################
SN2007ih  9.72
SN2007ik  9.91
SNF20080510-005 9.09
#SN2008bz 10.75 also in csp
SNF20080512-008 8.88
SNF20080512-010 11.52
SNF20080516-000 8.63
SNF20080516-022 10.68
SNF20080517-010 8.82
#SNF20080522-000 9.75 also in cfa
SNF20080522-001 9.88
SNF20080522-004 10.58
#SNF20080522-011 8.90 also in cfa
SNF20080606-012 9.88
SNF20080610-003 9.00
########## BN12 ##############
PTF09dlc 8.71
PTF10hdv 7.80
PTF10hmv 8.37
PTF10mwb 9.07
PTF10ndc 9.20
PTF10nlg 9.53
PTF10qyx 7.92
#10qyx - correct host??
PTF10tce 10.03
PTF10ufj 10.74
PTF10wnm 10.10
PTF10wof 9.73
PTF10xyt 9.19
########## J20 ##############
iPTF13s  7.97
iPTF13ez 10.19
iPTF13ft 8.80
iPTF13abc 10.33
iPTF13ahk 11.27
iPTF13anh 8.51
iPTF13aro 10.75
iPTF13asv  7.71
iPTF13ayw 11.15
iPTF13azs  9.79
iPTF13bkw 10.56
iPTF13crp 10.71
iPTF13daw 10.82
iPTF13ddg 9.71
iPTF13dge 10.87
iPTF13dkj 10.50
iPTF13dkl  9.54
iPTF13dkx  9.13
iPTF13duj 10.99
iPTF13dym  9.93
iPTF13ebh 11.23
iPTF14yw 10.86
iPTF14yy 10.40
iPTF14aje 10.96
iPTF14bbr 10.85
iPTF14bdn  8.37
iPTF14bpo 10.77
iPTF14bqg 10.84
iPTF14ddi 11.16
iPTF14deb 11.42
iPTF14eje 11.38
iPTF14fpb 10.14
iPTF14fww 10.07
iPTF14gnl 10.59
iPTF16abc 10.85
iPTF16auf 9.53
iPTF14bpz 8.48
iPTF17lf 10.50
############################
### Other
iPTF13efe  8.39
iPTF13apr 11.05
#PTF09c 10.46 132.51 10.51 10.74
#PTF09dlc  8.73  8.51 55.57 -99.00
#PTF10bjs 10.04  9.34  9.74  9.24
#PTF10cxk  9.02  8.89 54.44  9.28
#PTF10fps 10.27 10.14 10.41 10.57
#PTF10hdv  9.38  9.11 55.37 -99.00
#PTF10mwb  9.03  8.42 54.84 -99.00
#PTF10ndc  9.21  8.93 55.74 -99.00
#PTF10nlg 55.50  9.53 55.40 -99.00
#PTF10tce 10.06 10.06 10.02 -99.00
#PTF10ufj 10.70 10.59 10.67 -99.00
#PTF10wnm 10.12 10.04 10.58 -99.00
#PTF10wof  9.73  9.55 55.34  9.68
#PTF10xyt  9.20  9.09 55.28 -99.00
#PTF10icb  9.22  8.82  9.20  9.20
PTF11pbp 10.79
PTF11pra 10.86
PTF11qpc  9.92
PTF11qri  9.67
SN2012bh_PTF12bok 10.52
PTF12ccw  9.17
SN2012cp_PTF12ena  9.78
SN2012et_PTF12jge 10.42
#PTF10hmv  8.37  8.08 54.90 -99.00
#PTF09dsy 54.19 54.19 10.50 -99.00
PTF09gck 9.83
#PTF11be 54.30 54.30 54.23 -99.00
PTF11moy  7.93
PTF11qmo 10.94
iPTF13dad 9.79
#PTF10qyx 7.92
#PTF10qyx =  wrong ps1 object? faint galaxy at SN loc in legacy
PTF11qzq 10.35
