13duj 0.016952 318.436571 13.575875
filter R48
56598.274 19.672 0.009
56599.541 19.146 0.269
56600.673 19.042 0.357
56603.575 19.078 0.262
filter UVW1
# Swift
56591.253 17.855 0.157
56592.391 17.236 0.103
56593.559 17.096 0.101
56594.319 16.869 0.091
56595.664 16.685 0.086
56596.499 16.728 0.102
56598.267 16.710 0.088
56599.529 16.619 0.085
56600.666 16.674 0.114
56603.565 16.973 0.098
filter UVW2
# Swift
56591.262 19.530 0.387
56592.395 19.067 0.259
56593.562 18.853 0.233
56594.321 18.636 0.198
56595.667 18.738 0.219
56596.501 18.380 0.205
56598.271 18.327 0.167
56599.534 18.235 0.159
56600.669 18.497 0.257
56603.569 18.380 0.177
filter V_UVOT
# Swift
56591.268 16.280 0.085
56592.396 15.990 0.083
56593.563 15.818 0.081
56594.323 15.747 0.077
56595.637 15.545 0.075
56596.503 15.536 0.085
56598.273 15.392 0.071
56599.537 15.312 0.069
56600.671 15.150 0.085
56603.571 15.170 0.068
filter Vkait
# kait4
56590.160 16.574 0.029
56591.130 16.269 0.023
56592.130 16.057 0.022
56596.120 15.545 0.016
56597.110 15.482 0.016
56598.110 15.406 0.013
56599.110 15.358 0.014
56602.100 15.261 0.016
56603.100 15.266 0.035
56604.110 15.248 0.013
56605.110 15.282 0.013
56607.100 15.356 0.021
56609.090 15.384 0.017
56611.100 15.315 0.177
56613.100 15.582 0.020
56615.110 15.813 0.058
56619.110 15.946 0.063
56621.100 16.032 0.021
56625.100 16.151 0.025
56629.090 16.362 0.039
56641.100 17.083 0.052
56649.090 17.355 0.088
56656.100 17.543 0.074
filter Vs
# nickel2
56599.190 15.381 0.013
56601.220 15.318 0.013
56605.210 15.283 0.008
56609.220 15.422 0.014
56622.160 16.064 0.029
56631.150 16.551 0.053
56635.140 16.821 0.081
56639.110 17.041 0.038
56642.110 17.195 0.070
