13dge 0.015854 75.896169 1.571493
filter Unat
2456560.23838 15.47 0.01
2456560.23961 15.45 0.02
2456560.25671 15.45 0.02
2456560.94418 15.39 0.01
2456560.94541 15.42 0.01
2456562.87444 15.50 0.01
2456562.87566 15.50 0.01
2456562.89156 15.48 0.01
2456562.89278 15.51 0.01
2456562.90924 15.50 0.02
2456562.91045 15.49 0.01
2456563.78984 15.53 0.01
2456563.79105 15.52 0.01
2456572.48179 15.99 0.02
2456572.48301 16.05 0.02
2456574.47561 16.15 0.01
2456574.47683 16.17 0.01
2456576.90852 16.25 0.01
2456576.90975 16.35 0.04
2456579.60137 16.46 0.01
2456579.60319 16.41 0.01
2456579.61146 16.43 0.02
2456579.61303 16.82 0.12
2456581.47319 16.66 0.02
2456581.47475 16.31 0.02
2456583.69171 16.71 0.02
2456583.69328 16.75 0.02
2456585.52757 16.72 0.02
2456585.52913 16.72 0.02
2456589.42361 16.99 0.03
2456589.42517 17.03 0.03
2456590.91444 17.08 0.02
2456590.91601 17.11 0.01
2456591.74493 17.25 0.13
2456591.74656 17.25 0.13
2456593.66444 17.28 0.02
2456593.66609 17.28 0.02
2456593.67837 17.26 0.01
2456593.68001 17.22 0.01
2456595.40762 17.36 0.04
2456595.40927 17.34 0.02
2456598.84228 17.53 0.02
2456600.40244 17.52 0.06
2456600.40400 17.57 0.05
2456602.46038 17.53 0.02
2456602.46194 17.54 0.02
2456602.47378 17.53 0.02
2456602.47534 17.56 0.02
2456604.38281 17.61 0.02
2456604.38454 17.66 0.02
2456606.59730 17.68 0.02
2456606.59889 17.73 0.02
2456608.49431 17.77 0.03
2456608.49591 17.77 0.03
2456611.74120 17.77 0.02
2456611.74347 17.77 0.02
2456611.75697 17.71 0.02
2456611.75922 17.76 0.03
2456613.69154 17.96 0.04
2456616.68896 17.96 0.04
2456616.69122 17.86 0.03
2456619.35826 17.97 0.02
2456619.36052 18.00 0.02
2456622.56692 18.06 0.03
2456622.56918 18.15 0.02
2456625.61041 18.08 0.02
2456625.61266 18.04 0.02
2456628.76788 18.29 0.02
2456628.77014 18.31 0.02
2456628.78334 18.73 0.07
2456628.78560 18.65 0.06
2456632.58683 18.35 0.03
2456632.58909 18.38 0.03
2456640.39988 18.65 0.21
2456640.40236 18.46 0.09
filter ulcogt
2456541.18350 18.78 0.44
2456541.21027 20.03 0.55
2456541.21972 19.52 0.36
2456541.60793 19.03 0.24
2456541.61738 19.33 0.29
2456542.21969 18.10 0.44
2456545.81865 16.63 0.05
2456545.82578 16.67 0.06
2456546.24228 16.52 0.06
2456546.24941 16.48 0.06
2456546.27057 17.05 0.13
2456546.27773 16.66 0.10
2456547.24256 16.83 0.08
2456547.24970 17.43 0.15
2456547.26962 16.62 0.05
2456547.27682 16.62 0.06
2456548.56957 15.97 0.03
2456548.57530 15.96 0.03
2456548.59159 15.95 0.03
2456548.59733 15.96 0.03
2456552.85429 15.56 0.02
2456552.86003 15.61 0.03
2456556.82620 15.59 0.02
2456556.83056 15.48 0.03
2456556.84402 15.52 0.03
2456556.84839 15.43 0.03
2456560.22479 15.54 0.03
2456560.22914 15.58 0.02
2456560.24199 15.60 0.02
2456560.24634 15.58 0.03
2456560.26034 15.58 0.02
2456560.26469 15.63 0.03
2456560.93071 15.60 0.02
2456560.93505 15.64 0.02
2456562.86095 15.71 0.04
2456562.86530 15.98 0.13
2456562.87802 15.73 0.04
2456562.88237 15.78 0.05
2456562.89573 15.72 0.03
2456562.90008 15.67 0.03
2456563.77616 15.72 0.03
2456563.78050 15.77 0.03
filter glcogt
2456540.60098 19.37 0.02
2456540.60588 19.35 0.03
2456540.82988 18.68 0.18
2456540.83469 19.32 0.11
2456541.57646 18.62 0.02
2456541.58126 18.65 0.02
2456541.60802 18.62 0.02
2456541.61285 18.62 0.02
2456542.15817 18.29 0.02
2456542.16297 18.30 0.02
2456542.18771 18.27 0.01
2456542.19252 18.25 0.01
2456542.57235 18.07 0.01
2456542.57600 18.13 0.04
2456543.59583 17.57 0.02
2456543.59957 17.61 0.02
2456544.93557 16.90 0.01
2456544.93922 16.85 0.01
2456545.13921 17.05 0.03
2456545.14287 17.01 0.01
2456545.24685 16.94 0.02
2456545.25051 16.90 0.01
2456545.81867 17.01 0.14
2456545.82231 16.71 0.01
2456546.24229 16.64 0.01
2456546.24596 16.64 0.01
2456546.26900 16.60 0.01
2456546.27266 16.61 0.01
2456546.82938 16.50 0.02
2456546.83302 16.48 0.01
2456546.85373 16.49 0.01
2456546.85737 16.48 0.01
2456546.87969 16.47 0.01
2456546.88333 16.50 0.01
2456547.24229 16.38 0.01
2456547.24596 16.39 0.01
2456547.27083 16.36 0.01
2456548.56956 16.10 0.01
2456548.57251 16.11 0.01
2456548.58961 16.10 0.01
2456548.59256 16.10 0.01
2456548.81825 16.08 0.01
2456548.82122 16.08 0.01
2456548.84023 16.07 0.02
2456548.84318 16.22 0.13
2456550.81523 15.86 0.01
2456550.81818 15.87 0.02
2456551.81253 15.70 0.01
2456551.81547 15.71 0.01
2456551.83318 15.72 0.01
2456551.83613 15.71 0.01
2456552.83367 15.65 0.01
2456552.83661 15.66 0.01
2456554.56668 15.55 0.01
2456554.56910 15.55 0.01
2456554.58314 15.58 0.01
2456554.58539 15.58 0.01
2456556.81054 15.58 0.01
2456556.82698 15.51 0.02
2456559.53301 15.59 0.01
